WORD,COUNT
dongg,3
banh,2
napa,7
leght,1
bgttt,10
hei,3
kerjaaaa,1
lemottt,4
man,1
mahalllll,1
baless,1
dahh,6
bisaa,2
tsel,15
dasar,6
ribet,13
problem,15
jadiin,3
pos,3
cenah,1
typo,1
pret,1
puluh,1
kmren,2
blm,43
adm,2
ramah,1
sorry,3
marah,10
tingkah,3
complaint,5
ratus,20
bahagia,3
viu,10
anlimnya,1
kakaaa,1
zonauang,8
zonajajan,2
registrasi,3
kayagini,1
nunggunya,2
downkah,1
gym,1
stars,1
season,5
da,7
vinci,1
gana,2
internetan,15
liga,5
inggris,3
diamond,3
sini,2
semuaadadividio,2
woy,10
benefit,2
selaras,4
burik,1
haloooooooo,1
patung,1
monmaaf,1
hobi,8
senang,8
kencang,3
bioskop,1
ayang,2
add,3
indimovie,3
series,1
hbo,11
group,7
cinemax,4
sihh,8
pepek,1
malang,6
indihomelemot,1
hwhwhw,1
translator,1
ponakan,1
spesialis,3
forensik,1
tlpn,3
ngemeng,1
apa,18
bla,2
kmna,1
bundling,8
nambah,4
15k,2
hawa,1
denger,7
senandung,1
lari,2
teras,2
nongol,3
tanya,1
gangguin,1
hibur,12
aku,4
apah,1
disney,30
dateng,15
jemput,1
lamban,4
gratis,11
manee,1
brok,2
tayang,5
italia,1
ditanyangkan,1
smart,3
tweet,9
jasa,4
nihil,3
nyuruh,4
halah,1
ngiklan,1
slow,7
response,5
kyknya,1
ngapasikkk,1
sahabat,6
daritadi,3
gembelllllll,1
jirrrr,1
support,7
idlix,2
okeoke,1
tonton,6
360,1
plis,18
w,25
nnton,3
ngeload,1
soalnyaaaaa,1
au,2
gamood,1
badmood,2
dritdi,1
rangkai,1
psd,1
serasa,1
wibil,1
wilyh,1
bsa,6
bnget,3
700k,1
ngangngengngong,1
interner,1
bosen,2
lucu,5
karaoke,2
reboot,1
biasa,9
kalah,3
kartu,4
babi,15
minggu,29
ngantri,1
masang,14
gmna,6
minn,2
cacat,6
berjam2,1
conect,1
apasih,2
gangguaaan,1
tolooonvgggfggg,1
temenan,2
egk,3
gagal,4
join,2
demn,1
huuuaaaa,1
beneran,15
dami,2
dipta,5
kamar,7
maksud,8
kali,8
cekuma,1
zyad,7
lalu,1
tawar,5
kos,12
lagi,11
kiano,11
duwe,2
peda,1
suwe2,1
gregeten,1
cape,14
unlimited,6
baju,2
telkom,68
